"precio";"moneda";"direccion";"barrio";"metros_totales";"area_privada";"dormitorios";"baños";"garage";"gastos_comunes";"admite_mascotas";"disposicion";"balcon";"terraza";"ascensor";"amueblado";"aire_acondicionado";"calefaccion";"numero_piso";"latitud_Y";"longitud_X";"url";"dist_av_18_de_julio";"dist_av_8_de_octubre";"dist_av_agraciada";"dist_av_bolivia";"dist_av_gral_eugenio_garzon";"dist_av_italia";"dist_bv_gral_artigas";"dist_bv_jose_batlle_y_ordoñez"
21000;"UYU($)";"José Ellauri 700, Punta Carretas, Montevideo";"Punta Carretas";25;23;0;1;"No";4700;"No especificado";"No";"No";"Sí";"Si";"No";"Sí";"No";NA;-34.9177034;-56.1549891;"https://apartamento.mercadolibre.com.uy/MLU-1394701986-alquiler-monoambiente-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=46&type=item&tracking_id=f110368e-02bd-4b6c-8ec8-96a6509b88f0&price_drop=not_apply&sid=search";2395.17459726372;2406.87400478609;4233.52982249135;7292.34634710605;9604.17010749324;2667.07740831893;669.365633615552;3551.72909600344
67000;"UYU($)";"Av. Francisco Soca Al 1400, Pocitos, Montevideo";"Parque Batlle Villa Dolores";124;124;4;3;"Si";13561;"No";"Si";"Si";"No";"Sí";"No";"Sí";"No";2;-34.9028332;-56.1558739;"https://apartamento.mercadolibre.com.uy/MLU-695902973-alquilamos-hermoso-de-4-dormitorios-3-banos-garaje-fijo-para-2-autos--_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=47&type=item&tracking_id=f110368e-02bd-4b6c-8ec8-96a6509b88f0&price_drop=not_apply&sid=search";985.725034125928;1071.81929340281;3182.42148094365;6340.40171100025;8387.07488941302;1148.22058698118;738.257127245299;2389.56498188275
24000;"UYU($)";"Julio César 1340, Pocitos, Montevideo";"Pocitos";29;28;0;1;"No";3800;"No";"Si";"No";"No";"Sí";"No";"Sí";"No";2;-34.9034233;-56.1402734;"https://apartamento.mercadolibre.com.uy/MLU-1450534140-apartamento-en-alquiler-en-pocitos-monoambiente-semi-equipado-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=item&tracking_id=f110368e-02bd-4b6c-8ec8-96a6509b88f0&price_drop=not_apply&sid=search";2314.61436773591;2358.46771886558;4527.54233254587;5231.71228394577;9546.2579464688;1700.06619492836;2151.7833214922;1485.02771016337
38000;"UYU($)";"Dr. Héctor Miranda 2444, Montevideo, Punta Carretas, Montevideo";"Punta Carretas";66;40;2;1;"No";9800;"Sí";"Si";"Si";"Sí";"Sí";"Sí";"Sí";"Sí";1;-34.9235161;-56.1602441;"https://apartamento.mercadolibre.com.uy/MLU-695984933-apartamento-en-alquiler-de-2-dormitorios-y-amplia-terraza-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";2758.58592285704;2871.85978622255;4435.40461809736;8085.4669765466;9795.31304619903;3179.03372769626;133.093022794468;4335.17590759638
28500;"UYU($)";"Pocitos, Pocitos, Montevideo";"Pocitos";40;40;1;1;"No";6200;"No";"Si";"No";"No";"Si";"No";"No";"Sí";NA;-34.9113859;-56.1617132;"https://apartamento.mercadolibre.com.uy/MLU-695589087-apartamento-en-alquiler-1-dormitorio-1-bano-pocitos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";1506.60071639858;1531.4224379953;3303.12887609856;7315.03124120678;8672.46090730989;1828.85368967399;120.686207723772;3460.73936520829
25400;"UYU($)";"Eduardo Acevedo 1438, Cordón, Montevideo";"Cordón";48;48;1;1;"No";4000;"No";"Si";"No";"No";"No";"No";"No";"No";3;-34.9031771;-56.1755603;"https://apartamento.mercadolibre.com.uy/MLU-1444955480-alquiler-de-apartamento-de-1-dormitorio-en-cordon-sur-doo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";139.146859702975;1014.10858861477;1784.55770458231;7938.05543086967;7157.42037654902;1312.20643229582;1037.58243525802;3653.34065876078
26500;"UYU($)";"Malvi­n, Malvin, Montevideo";"Malvín";43;43;1;1;"No";5500;"No especificado";"Si";"Si";"Sí";"Si";"No";"No";"Sí";3;-34.8870854;-56.1187438;"https://apartamento.mercadolibre.com.uy/MLU-1408066994-apartamento-en-alquiler-1-dormitorio-1-bano-terraza-malvin-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";4346.51613396498;2276.68780263402;6262.41542049122;2559.20939749942;10404.8020741651;0.712728993801347;4276.05321211531;1169.7224685922
28500;"UYU($)";"La Blanqueada, La Blanqueada, Montevideo";"Larrañaga";63;63;2;1;"No";3400;"Sí";"No";"No";"No";"Si";"No";"No";"No";NA;-34.8854327;-56.1568705;"https://apartamento.mercadolibre.com.uy/MLU-1446441878-apartamento-en-alquiler-2-dormitorios-1-bano-la-blanqueada-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";1502.24454583941;1.39241070602753;2819.36834343014;5647.97710547487;7185.08475148835;646.453486735788;822.329199731899;1048.96279815228
28900;"UYU($)";"Buceo, Buceo, Montevideo";"Buceo";50;50;2;1;"No";3200;"Sí";"Si";"Si";"Sí";"Si";"No";"No";"No";NA;-34.8878095;-56.1288221;"https://apartamento.mercadolibre.com.uy/MLU-1435838920-apartamento-en-alquiler-2-dormitorios-1-bano-balcon-buceo-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";3440.67595290351;1773.20659362523;5338.44567343747;3362.37884312653;9588.87254355964;96.6351511844871;3351.56898430768;473.339907752661
26500;"UYU($)";"Doctor Joaquín Requena 1200, Cordón, Montevideo";"Cordón";57;55;2;1;"No";2500;"No especificado";"No";"No";"Sí";"Si";"No";"No";"No";NA;-34.904497;-56.1686879;"https://apartamento.mercadolibre.com.uy/MLU-1377490790-apto-en-alquiler-2-dormitorios-cordon-sur-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search";544.047527471182;740.665294737324;2313.54222876886;7444.69093773508;7678.38136508585;1091.63400504965;425.387175655599;3344.11882939119
