precio,moneda,direccion,barrio,tipo,metros_totales,area_privada,dormitorios,baños,garage,gastos_comunes,admite_mascotas,disposicion,balcon,terraza,ascensor,amueblado,aire_acondicionado,calefaccion,numero_piso,latitud_Y,longitud_X,url
US$ 1.600,Dólares (USD),"Bv. España Y Berro, Pocitos, Montevideo",Pocitos,Apartamento,110 m²,96 m²,4,3,1,19.200 UYU,No,Frente,Sí,No,Sí,No,Sí,No,6,-34.9140151,-56.1527701,https://apartamento.mercadolibre.com.uy/MLU-695146951-alquiler-apartamento-de-4-dormitorios-y-garaje-en-pocitos-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=47&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search
$ 25.900,Pesos Uruguayos (UYU),"Paraguay 1200, Montevideo, Centro, Montevideo",Montevideo,Apartamento,40 m²,35 m²,1,1,0,4.000 UYU,Sí,Frente,Sí,Sí,Sí,No,No,No,10,-34.9088173,-56.1921883,https://apartamento.mercadolibre.com.uy/MLU-1453272772-alquiler-apartamento-1-dormitorio-a-estrenar-centro-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=item&tracking_id=7652bc31-9660-4eee-9b81-02722d2f5cda&price_drop=not_apply&sid=search
$ 35.000,Pesos Uruguayos (UYU),"Punta Carretas, Punta Carretas, Montevideo",Punta Carretas,Apartamento,40 m²,40 m²,1,1,1,8.000 UYU,No,Contrafrente,No,No,No especificado,No,No,Sí,No especificado,-34.9269758,-56.1615164,https://apartamento.mercadolibre.com.uy/MLU-694261185-apartamento-en-alquiler-1-dormitorio-1-bano-garage-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 27.500,Pesos Uruguayos (UYU),"Av Italia 2500, Parque Batlle, Montevideo",Parque Batlle,Apartamento,43 m²,40 m²,1,1,1,7.300 UYU,No,Frente,No,No,No,No,No,No,12,-34.8766002,-56.0514946,https://apartamento.mercadolibre.com.uy/MLU-694040061-alquiler-apartamento-1-dormitorio-cochera-parque-batlle-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 39.000,Pesos Uruguayos (UYU),"Centro Montevideo, Centro, Montevideo",Centro,Apartamento,70 m²,120 m²,2,2,1,6.000 UYU,No,Frente,Sí,Sí,No especificado,No,No,Sí,11,-34.9054226,-56.1924231,https://apartamento.mercadolibre.com.uy/MLU-1449066654-penthouse-en-alquiler-2-dormitorios-2-banos-terraza-garaje-centro-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=10&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 18.500,Pesos Uruguayos (UYU),"Michigan 1355, Montevideo, Malvin, Montevideo",Montevideo,Apartamento,20 m²,20 m²,0,1,0,3.100 UYU,No especificado,No especificado,Sí,No especificado,No especificado,No especificado,Sí,No especificado,No especificado,-34.8969978,-56.0998547,https://apartamento.mercadolibre.com.uy/MLU-1446851380-alquiler-malvin-rambla-y-michigan-monoambiente-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=11&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 31.900,Pesos Uruguayos (UYU),"Magallanes 1261, Montevideo, Cordón, Montevideo",Montevideo,Apartamento,50 m²,45 m²,1,1,1,6.000 UYU,Sí,Frente,No,Sí,Sí,No,No,No,10,-34.9059142,-56.1785573,https://apartamento.mercadolibre.com.uy/MLU-693704441-alquiler-apartamento-1-dormitorio-con-garage-cordon-sur-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=12&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 34.000,Pesos Uruguayos (UYU),"Ciudadela 1280 1280, Centro, Montevideo",Centro,Apartamento,51 m²,51 m²,1,1,0,12.500 UYU,No especificado,Frente,Sí,Sí,Sí,No,Sí,Sí,11,-34.9080423,-56.1997439,https://apartamento.mercadolibre.com.uy/MLU-1365432382-alquiler-apartamento-1-dormitorio-centro-alma-duc-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=13&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 27.000,Pesos Uruguayos (UYU),"Williman, Punta Carretas, Montevideo",Punta Carretas,Apartamento,40 m²,33 m²,0,1,0,No especificado,Sí,Frente,7 m²,Sí,Sí,No,No,Sí,1,-34.917502,-56.160135,https://apartamento.mercadolibre.com.uy/MLU-1435879690-punta-carretas-alquiler-monoambiente-a-estrenar-al-frente-con-patio-y-jardin-muy-luminoso-finas-terminaciones-terraza-y-parrillero-de-uso-comun-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 35.000,Pesos Uruguayos (UYU),"21 De Setiembre 2427, Punta Carretas, Montevideo",Punta Carretas,Apartamento,46 m²,38 m²,1,1,1,5.500 UYU,Sí,Frente,No,Sí,Sí,Sí,Sí,No,11,-34.9130998,-56.1624455,https://apartamento.mercadolibre.com.uy/MLU-696129121-alquiler-apartamento-con-muebles-1-dormitorio-garage-punta-carretas-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=15&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
$ 28.500,Pesos Uruguayos (UYU),"Martin C Martínez 1533, Cordón, Montevideo",Cordón,Apartamento,45 m²,45 m²,1,1,0,4.500 UYU,No especificado,Frente,No,No,Sí,Sí,Sí,Sí,10,-34.9004039,-56.1706112,https://apartamento.mercadolibre.com.uy/MLU-1447967662-alquiler-apartamento-1-dormitorio-cordon-tres-cruces-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=item&tracking_id=527b1ac8-d86d-486b-91ba-23e5fd5c07a5&price_drop=not_apply&sid=search
